,model_name,class_normal,method,best_threshold,best_roc_score
0,sparse_kl,0,mse,0.007033896064386,0.826086139683434
0,sparse_kl,0,rmse,0.080386800199002,0.828392278427505
0,sparse_kl,0,euclid_dist,2.25083037443161,0.828392278427505
0,beta_vae,0,mse,0.017603417906724,0.841240430228735
0,beta_vae,0,rmse,0.135231772865355,0.845728241980179
0,beta_vae,0,euclid_dist,3.78648982682228,0.845728241980179
0,sparse_kl,0,mse,0.009490131316613,0.830687476860012
0,sparse_kl,0,rmse,0.095035409152508,0.83138101218957
0,sparse_kl,0,euclid_dist,2.66099142608643,0.83138101218957
0,beta_vae,0,mse,0.018104272445291,0.842466062827392
0,beta_vae,0,rmse,0.135021447449923,0.841354457669544
0,beta_vae,0,euclid_dist,3.7806006770134,0.841354457669544
0,sparse_kl,0,mse,0.007633203808218,0.820837771343035
0,sparse_kl,0,rmse,0.086577910557389,0.821162035971518
0,sparse_kl,0,euclid_dist,2.4241816163063,0.821162035971518
0,beta_vae,0,mse,0.017539782025851,0.836866345881081
0,beta_vae,0,rmse,0.132785775057971,0.836870806192339
0,beta_vae,0,euclid_dist,3.71800180220604,0.836870806192339
0,sparse_kl,0,mse,0.007322611106001,0.820998298576822
0,sparse_kl,0,rmse,0.088580060425401,0.820782433698037
0,sparse_kl,0,euclid_dist,2.48024161462784,0.820782433698037
0,beta_vae,0,mse,0.019775165534392,0.845887774059161
0,beta_vae,0,rmse,0.140968056073785,0.846783103389078
0,beta_vae,0,euclid_dist,3.94710538425446,0.846783103389078
0,sparse_kl,0,mse,0.007420773882046,0.831110970410705
0,sparse_kl,0,rmse,0.082067422382534,0.829983960153645
0,sparse_kl,0,euclid_dist,2.29788778245449,0.829983960153645
0,beta_vae,0,mse,0.01776351543814,0.839363049259212
0,beta_vae,0,rmse,0.13369486528635,0.838132624203284
0,beta_vae,0,euclid_dist,3.74345653762817,0.838132624203284
0,sparse_kl,0,mse,0.01350997348316,0.817898409579486
0,sparse_kl,0,rmse,0.116269819647074,0.817898409579486
0,sparse_kl,0,euclid_dist,3.25555510926247,0.817898409579486
0,beta_vae,0,mse,0.022013707406819,0.844825020380157
0,beta_vae,0,rmse,0.148966511785984,0.84535071210926
0,beta_vae,0,euclid_dist,4.17106233787537,0.84535071210926
0,sparse_kl,0,mse,0.006046597212553,0.826333236405932
0,sparse_kl,0,rmse,0.077499444749951,0.826054085489968
