,class_normal,method,best_threshold,best_roc_score
0,0,mse,0.007573445670213551,0.8128474926750062
0,0,rmse,0.08678914919346568,0.8127663929804962
0,0,euclid_dist,2.4300961459875103,0.8127663929804962
0,0,mse,0.009364046724932271,0.8279047134968973
0,0,rmse,0.09862807493470606,0.8271652751057765
0,0,euclid_dist,2.7615860975146287,0.8271652751057765
0,0,mse,0.006501380094746128,0.8273989009440609
0,0,rmse,0.07860673363879324,0.8297660983514161
0,0,euclid_dist,2.200988627910615,0.8297660983514161
0,0,mse,0.006902137600444259,0.8143643537395048
0,0,rmse,0.08227980029471216,0.8157304789581945
0,0,euclid_dist,2.3038345753550535,0.8157304789581945
0,0,mse,0.007573445670213551,0.8128474926750062
0,0,rmse,0.08678914919346568,0.8127663929804962
0,0,euclid_dist,2.4300961459875103,0.8127663929804962
0,0,mse,0.006149619581177831,0.8175556526718577
0,0,rmse,0.07827828579545024,0.8177783202291945
0,0,euclid_dist,2.191791938877106,0.8177783202291945
0,0,mse,0.007424944799020885,0.8111874034653647
0,0,rmse,0.08595922472067179,0.8092320052119553
0,0,euclid_dist,2.4068580937623985,0.8092320052119553
0,0,mse,0.007269111506873739,0.8320839137225108
0,0,rmse,0.08431964178271592,0.8315541766915707
0,0,euclid_dist,2.360950012183191,0.8315541766915707
0,0,mse,0.006617545739747585,0.8298963519916248
0,0,rmse,0.08116440784931182,0.8297466988065789
0,0,euclid_dist,2.272603495121003,0.8297466988065789
0,0,mse,0.010336452347040174,0.8190838027861478
0,0,rmse,0.09936722701787945,0.8198371107908642
0,0,euclid_dist,2.7822821459770197,0.8198371107908642
0,0,mse,0.00723980104289949,0.8277504732557965
0,0,rmse,0.08457077998295429,0.8280628153062511
0,0,euclid_dist,2.3679817010164266,0.8280628153062511
0,0,mse,0.008066689382772892,0.8163123309199888
0,0,rmse,0.08560288041830062,0.8160760520821567
0,0,euclid_dist,2.396880700349808,0.8160760520821567
0,0,mse,0.006930681412573903,0.819852331176373
0,0,rmse,0.08210792137496173,0.8230508003837802
0,0,euclid_dist,2.2990216847062115,0.8230508003837802
0,0,mse,0.00723980104289949,0.8277504732557965
0,0,rmse,0.08457077998295429,0.8280628153062511
0,0,euclid_dist,2.3679817010164266,0.8280628153062511
0,0,mse,0.006778278511483223,0.8120684193854926
0,0,rmse,0.07970295234583316,0.812597855106566
0,0,euclid_dist,2.2316828558444977,0.812597855106566
0,0,mse,0.006405333094857635,0.8179153955440038
0,0,rmse,0.07966003513336185,0.8179264088811551
0,0,euclid_dist,2.230480976486205,0.8179264088811551
0,0,mse,0.010544438633322719,0.821384348440261
0,0,rmse,0.10050054276883602,0.8214043129566606
0,0,euclid_dist,2.8140154363155365,0.8214043129566606
0,0,mse,0.006943369877524673,0.8368097254135959
0,0,rmse,0.08295577947795389,0.8372311041781787
0,0,euclid_dist,2.3227617032527927,0.8372311041781787
0,0,mse,0.007754122935002669,0.8210316259150887
0,0,rmse,0.086866773923859,0.8209867823630309
0,0,euclid_dist,2.4322694656729706,0.8209867823630309
0,0,mse,0.009364046724932271,0.8279047134968973
0,0,rmse,0.09862807493470606,0.8271652751057765
0,0,euclid_dist,2.7615860975146287,0.8271652751057765
0,1,mse,0.005551520561985672,0.9528387439687013
0,1,rmse,0.07537674574851988,0.9527435573511747
0,1,euclid_dist,2.110548757648468,0.9527435573511747
0,1,mse,0.00677341830712976,0.9627544795415306
